/Users/georgetrump/Visual Studio Code/dishify/.venv/lib/python3.13/site-packages/qdrant_client/qdrant_remote.py:282: UserWarning: Qdrant client version 1.18.0 is incompatible with server version 1.12.4. Major versions should match and minor version difference must not exceed 1. Set check_compatibility=False to skip version check.
  show_warning(
CSV: /Users/georgetrump/Visual Studio Code/dishify/data/dataset_full_annotated.csv
Collection: recipes_full
Qdrant URL: http://localhost:6333
Embedding model: sentence-transformers/all-MiniLM-L6-v2
Start row: 135,500
Dry run: False
Qdrant timeout: 120s
Upload batch size: 50
Upload retries: 3
Skip upload errors: True
Total rows: 2,230,132
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]Loading weights: 100%|██████████| 103/103 [00:00<00:00, 17981.82it/s]
/Users/georgetrump/Visual Studio Code/dishify/backend/scripts/index_full_recipes.py:67: FutureWarning: The `get_sentence_embedding_dimension` method has been renamed to `get_embedding_dimension`.
  self.vector_size = embedding_model.get_sentence_embedding_dimension()
Rows 140,500/2,230,132 | batch=5,000 in 5.0s | avg=755.5 rows/s | skipped_upload_points=0
Rows 145,500/2,230,132 | batch=5,000 in 4.6s | avg=848.8 rows/s | skipped_upload_points=0
Rows 150,500/2,230,132 | batch=5,000 in 4.8s | avg=854.6 rows/s | skipped_upload_points=0
Rows 155,500/2,230,132 | batch=5,000 in 4.6s | avg=876.8 rows/s | skipped_upload_points=0
Rows 160,500/2,230,132 | batch=5,000 in 4.5s | avg=892.8 rows/s | skipped_upload_points=0
Rows 165,500/2,230,132 | batch=5,000 in 6.1s | avg=863.7 rows/s | skipped_upload_points=0
Rows 170,500/2,230,132 | batch=5,000 in 4.4s | avg=878.6 rows/s | skipped_upload_points=0
Rows 175,500/2,230,132 | batch=5,000 in 6.7s | avg=846.0 rows/s | skipped_upload_points=0
Rows 180,500/2,230,132 | batch=5,000 in 4.5s | avg=858.2 rows/s | skipped_upload_points=0
Rows 185,500/2,230,132 | batch=5,000 in 4.3s | avg=869.7 rows/s | skipped_upload_points=0
Rows 190,500/2,230,132 | batch=5,000 in 7.5s | avg=838.7 rows/s | skipped_upload_points=0
Rows 195,500/2,230,132 | batch=5,000 in 4.7s | avg=840.1 rows/s | skipped_upload_points=0
Rows 200,500/2,230,132 | batch=5,000 in 4.4s | avg=850.4 rows/s | skipped_upload_points=0
Rows 205,500/2,230,132 | batch=5,000 in 7.3s | avg=829.7 rows/s | skipped_upload_points=0
Rows 210,500/2,230,132 | batch=5,000 in 5.2s | avg=830.5 rows/s | skipped_upload_points=0
Rows 215,500/2,230,132 | batch=5,000 in 5.7s | avg=828.2 rows/s | skipped_upload_points=0
Rows 220,500/2,230,132 | batch=5,000 in 6.9s | avg=814.4 rows/s | skipped_upload_points=0
Rows 225,500/2,230,132 | batch=5,000 in 4.7s | avg=819.9 rows/s | skipped_upload_points=0
Rows 230,500/2,230,132 | batch=5,000 in 5.8s | avg=817.5 rows/s | skipped_upload_points=0
Rows 235,500/2,230,132 | batch=5,000 in 6.2s | avg=811.7 rows/s | skipped_upload_points=0
Rows 240,500/2,230,132 | batch=5,000 in 4.5s | avg=818.3 rows/s | skipped_upload_points=0
Rows 245,500/2,230,132 | batch=5,000 in 6.3s | avg=812.9 rows/s | skipped_upload_points=0
Rows 250,500/2,230,132 | batch=5,000 in 6.2s | avg=808.7 rows/s | skipped_upload_points=0
Rows 255,500/2,230,132 | batch=5,000 in 4.6s | avg=814.0 rows/s | skipped_upload_points=0
Rows 260,500/2,230,132 | batch=5,000 in 6.8s | avg=806.9 rows/s | skipped_upload_points=0
Rows 265,500/2,230,132 | batch=5,000 in 6.7s | avg=801.3 rows/s | skipped_upload_points=0
Rows 270,500/2,230,132 | batch=5,000 in 4.8s | avg=804.4 rows/s | skipped_upload_points=0
Rows 275,500/2,230,132 | batch=5,000 in 6.7s | avg=799.5 rows/s | skipped_upload_points=0
Rows 280,500/2,230,132 | batch=5,000 in 5.9s | avg=797.9 rows/s | skipped_upload_points=0
Rows 285,500/2,230,132 | batch=5,000 in 4.4s | avg=802.6 rows/s | skipped_upload_points=0
Rows 290,500/2,230,132 | batch=5,000 in 7.6s | avg=794.2 rows/s | skipped_upload_points=0
